platform,variant,test_rows,brier_score,baseline_brier_score,brier_delta_vs_market_price,log_loss,baseline_log_loss,log_loss_delta_vs_market_price,category_group,liquidity_quintile,horizon_label,staleness_bucket
polymarket,platform_category_price_bucket,129534,0.0751143680393595,0.07500261882867597,0.00011174921068353438,0.22850786344687501,0.22391098809807128,0.004596875348803736,,,,
kalshi,platform_category_price_bucket,32668,0.045892290790550495,0.04414878474351987,0.0017435060470306282,0.1687937002781562,0.1603275618873904,0.00846613839076582,,,,
kalshi,platform_category_price_bucket,316,0.026293050819383365,0.03136044303797469,-0.0050673922185913226,0.09423588229789338,0.11330323687379663,-0.01906735457590325,Media,,,
kalshi,platform_category_price_bucket,1200,0.0532646710877435,0.05799491666666666,-0.00473024557892316,0.19149004505281067,0.21879686591489295,-0.027306820862082276,Finance,,,
kalshi,platform_category_price_bucket,2680,0.032118475506381826,0.03640783582089552,-0.004289360314513692,0.12152493425496198,0.14499833415582997,-0.023473399900867983,Crypto,,,
kalshi,platform_category_price_bucket,515,0.016701513909403973,0.018825048543689316,-0.002123534634285343,0.06644461700766416,0.07522211802985847,-0.008777501022194309,Other,,,
kalshi,platform_category_price_bucket,19520,0.039254809235360996,0.040956798155764806,-0.0017019889204038102,0.14055179103887028,0.14798894290658826,-0.007437151867717984,Sports,,,
kalshi,platform_category_price_bucket,166,0.02264523021549128,0.02336144578313253,-0.0007162155676412492,0.08310343505371032,0.08911371301740183,-0.00601027796369151,Entertainment,,,
polymarket,platform_category_price_bucket,129534,0.0751143680393595,0.07500261882867597,0.00011174921068353438,0.22850786344687501,0.22391098809807128,0.004596875348803736,Other,,,
kalshi,platform_category_price_bucket,248,0.0033161547529180634,0.003005645161290322,0.0003105095916277412,0.01835549151898937,0.019077015684295425,-0.0007215241653060547,Politics,,,
kalshi,platform_category_price_bucket,258,0.0005608633097971978,0.00024728682170542635,0.0003135764880917714,0.005972234187210049,0.012143655466217068,-0.006171421279007019,Weather,,,
kalshi,platform_category_price_bucket,7726,0.07155935060101952,0.05840852964027672,0.013150820960742798,0.2727218409043804,0.20703033957288408,0.06569150133149632,Esports,,,
kalshi,platform_liquidity_price_bucket,8649,0.061230772047020925,0.0654635911666321,-0.004232819119611174,0.21474128615611532,0.23210920907335547,-0.017367922917240153,,1.0,,
kalshi,platform_liquidity_price_bucket,4470,0.027162031354626765,0.029867494407252355,-0.0027054630526255896,0.10243542446806174,0.11411952992867998,-0.011684105460618238,,4.0,,
kalshi,platform_liquidity_price_bucket,8711,0.044760643949458646,0.047020675008628623,-0.002260031059169977,0.15984996030473828,0.16901783272749857,-0.009167872422760293,,2.0,,
kalshi,platform_liquidity_price_bucket,6379,0.04298098006947714,0.04505054083719282,-0.0020695607677156808,0.15533372412807334,0.162447135344254,-0.007113411216180671,,3.0,,
kalshi,platform_liquidity_price_bucket,4459,0.008968971565783438,0.010221058533319354,-0.0012520869675359154,0.036802662900325134,0.04740733941026759,-0.010604676509942457,,5.0,,
polymarket,platform_liquidity_price_bucket,23775,0.07709646647057543,0.07707003601729452,2.6430453280906763e-05,0.22814117569306688,0.2257439159612885,0.002397259731778373,,5.0,,
polymarket,platform_liquidity_price_bucket,27328,0.061328595989778675,0.06110731137433009,0.00022128461544858313,0.1910114670275735,0.18506081019048543,0.005950656837088064,,2.0,,
polymarket,platform_liquidity_price_bucket,23933,0.06979927859695774,0.0693333987579789,0.00046587983897883323,0.2111313126481234,0.20766728205031026,0.003464030597813139,,4.0,,
polymarket,platform_liquidity_price_bucket,29002,0.10472839312053461,0.10426034901197422,0.0004680441085603976,0.31776904038971415,0.3090345684983642,0.00873447189134996,,1.0,,
polymarket,platform_liquidity_price_bucket,25496,0.06061388503724202,0.06000916384079299,0.0006047211964490332,0.1867038253318582,0.18226235066405377,0.004441474667804424,,3.0,,
kalshi,platform_horizon_liquidity_price_bucket,7010,0.0865066848386928,0.08973747503568702,-0.0032307901969942238,0.2831579832013011,0.2913378177557328,-0.00817983455443172,,,1h,
