platform,variant,test_rows,brier_score,baseline_brier_score,brier_delta_vs_market_price,log_loss,baseline_log_loss,log_loss_delta_vs_market_price,category_group,liquidity_quintile,horizon_label,staleness_bucket
kalshi,platform_horizon_liquidity_price_bucket,3896,0.1486568542300587,0.15075736652980387,-0.002100512299745172,0.44488796621501886,0.4513322560609178,-0.006444289845898954,,,6h,
kalshi,platform_horizon_liquidity_price_bucket,1074,0.19205714405840743,0.19247662942271881,-0.00041948536431138383,0.5562281980514312,0.5585943156824221,-0.002366117630990927,,,1d,
kalshi,platform_horizon_liquidity_price_bucket,168,0.14850166855035743,0.14849404761904764,7.620931309793022e-06,0.44604166588391486,0.4442269806719076,0.0018146852120072832,,,7d,
polymarket,platform_horizon_liquidity_price_bucket,112354,0.12627452796791286,0.12540573426274781,0.0008687937051650441,0.37036964394483496,0.3613467984768036,0.009022845468031337,,,1h,
polymarket,platform_horizon_liquidity_price_bucket,82644,0.12379607364744895,0.12244185365650298,0.001354219990945968,0.36825191518262373,0.3576964386216838,0.010555476560939914,,,6h,
polymarket,platform_horizon_liquidity_price_bucket,59216,0.08794047145840422,0.08601146412572708,0.0019290073326771462,0.2746594433317355,0.2589692340867861,0.01569020924494935,,,1d,
polymarket,platform_horizon_liquidity_price_bucket,45206,0.06837416609234172,0.06622676455414868,0.002147401538193039,0.22288785214790036,0.20557437851918955,0.0173134736287108,,,3d,
kalshi,platform_horizon_liquidity_price_bucket,501,0.18044238864128037,0.17607884231536924,0.004363546325911127,0.5286566155447859,0.5203925570915416,0.008264058453244294,,,3d,
polymarket,platform_horizon_liquidity_price_bucket,25376,0.07130106806200409,0.06564454064602496,0.0056565274159791346,0.23594060461737235,0.20430869582886088,0.031631908788511465,,,7d,
polymarket,platform_horizon_liquidity_price_bucket,9229,0.04643139382561326,0.03691328559967246,0.009518108225940798,0.16498982074343244,0.12479056395299246,0.04019925679043998,,,30d,
kalshi,platform_freshness_price_bucket,4798,0.11426621167385223,0.11620658607755792,-0.0019403744037056886,0.3575544967098216,0.36356784957880217,-0.0060133528689805815,,,,1-6h
kalshi,platform_freshness_price_bucket,2195,0.10728771416522075,0.10828159453309522,-0.0009938803678744695,0.33345984163205605,0.3367638830312807,-0.003304041399224633,,,,6-24h
polymarket,platform_freshness_price_bucket,62841,0.05173514035339621,0.05179444339334501,-5.9303039948804814e-05,0.17067750214438668,0.16294859181644716,0.007728910327939514,,,,1-7d
polymarket,platform_freshness_price_bucket,106242,0.1653656258348362,0.1652056631700267,0.00015996266480949872,0.48016887253662716,0.47764289721936487,0.0025259753172622856,,,,<=1h
kalshi,platform_freshness_price_bucket,329,0.18074204892491982,0.1805258358662614,0.0002162130586584321,0.5352399137800885,0.5431434316368321,-0.007903517856743592,,,,1-7d
kalshi,platform_freshness_price_bucket,5327,0.12833393929322828,0.1281021024967177,0.00023183679651059275,0.3912771939127076,0.38963282480685457,0.0016443691058530274,,,,<=1h
polymarket,platform_freshness_price_bucket,67314,0.12728099129339546,0.1270270840541198,0.0002539072392756525,0.3780400888039729,0.3726709449829904,0.005369143820982469,,,,1-6h
polymarket,platform_freshness_price_bucket,36032,0.11430986511362112,0.11402071502240065,0.0002891500912204775,0.34653280787105906,0.3410415978715997,0.0054912099994593455,,,,6-24h
polymarket,platform_freshness_price_bucket,61596,0.014435249573871288,0.013585309951689785,0.0008499396221815034,0.0506932395301056,0.04488599553215404,0.005807243997951558,,,,>7d
kalshi,platform_horizon_liquidity_price_bucket,2393,0.08528042940006755,0.09057150020896156,-0.005291070808894002,0.2844125225538258,0.2972523180902713,-0.012839795536445486,,2.0,,
kalshi,platform_horizon_liquidity_price_bucket,2242,0.09558226029583808,0.10019785905444024,-0.004615598758602166,0.3128492997055356,0.32877934732889824,-0.015930047623362642,,1.0,,
kalshi,platform_horizon_liquidity_price_bucket,1982,0.09287351474062727,0.09466468213929363,-0.00179116739866636,0.299265635031144,0.30487135813815486,-0.0056057231070108515,,3.0,,
kalshi,platform_horizon_liquidity_price_bucket,4060,0.1636369746165855,0.16411591133005024,-0.00047893671346474487,0.47762380813577743,0.47882467452083116,-0.0012008663850537338,,5.0,,
kalshi,platform_horizon_liquidity_price_bucket,1974,0.12215800273954405,0.12244842958464945,-0.00029042684510539873,0.376417712342048,0.37545709659234366,0.0009606157497043522,,4.0,,
polymarket,platform_horizon_liquidity_price_bucket,75261,0.13375987680051626,0.13339889652068657,0.00036098027982969794,0.3892032449405157,0.3844861865301873,0.004717058410328434,,5.0,,
polymarket,platform_horizon_liquidity_price_bucket,62408,0.127235170197365,0.12559701775513424,0.0016381524422307558,0.3756182570089013,0.3669343337702625,0.008683923238638758,,4.0,,
polymarket,platform_horizon_liquidity_price_bucket,69641,0.07426673472089546,0.07252148751456336,0.0017452472063320956,0.2359384831186775,0.21969100005286873,0.016247483065808754,,2.0,,
polymarket,platform_horizon_liquidity_price_bucket,61416,0.10298672712070112,0.10057260026673037,0.002414126853970744,0.3105931071437894,0.29873275357907997,0.011860353564709436,,3.0,,
polymarket,platform_horizon_liquidity_price_bucket,65299,0.08346637280405907,0.07959175806968836,0.0038746147343707016,0.27039550622493297,0.23954188051474917,0.030853625710183796,,1.0,,
