platform,lifespan_bucket,life_stage_index,life_stage_bucket,volume_metric_name,market_count,trade_count,contract_volume,trade_count_share,contract_volume_share,cumulative_contract_volume_share
kalshi,7-30d,0,0-10%,kalshi_contract_count,7314,144034.0,19310887.0,0.007571710964124923,0.0031183750079648537,0.0031183750079648537
kalshi,7-30d,1,10-20%,kalshi_contract_count,7404,153812.0,25345751.0,0.008085729805559678,0.004092901402017432,0.007211276409982286
kalshi,7-30d,2,20-30%,kalshi_contract_count,8252,207106.0,32462275.0,0.010887337510143829,0.0052420972201682025,0.012453373630150488
kalshi,7-30d,3,30-40%,kalshi_contract_count,9282,252698.0,42992718.0,0.013284059438829997,0.006942582043780832,0.01939595567393132
kalshi,7-30d,4,40-50%,kalshi_contract_count,10032,324667.0,57156481.0,0.017067391613018776,0.009229785348214094,0.028625741022145414
kalshi,7-30d,5,50-60%,kalshi_contract_count,11012,387450.0,74382360.0,0.02036782574288155,0.012011467544574448,0.04063720856671986
kalshi,7-30d,6,60-70%,kalshi_contract_count,11390,481861.0,96156400.0,0.025330909485845005,0.015527599256102097,0.05616480782282196
kalshi,7-30d,7,70-80%,kalshi_contract_count,11747,648266.0,142029143.0,0.03407863962584812,0.022935255637603097,0.07910006346042506
kalshi,7-30d,8,80-90%,kalshi_contract_count,13128,885352.0,197307585.0,0.046541993178762855,0.03186177009610698,0.11096183355653204
kalshi,7-30d,9,90-100%,kalshi_contract_count,15981,15537403.0,5505468562.0,0.8167844026349853,0.889038166443468,1.0
kalshi,<=1h,0,0-10%,kalshi_contract_count,235,279.0,143209.0,0.42660550458715596,0.6786738257832455,0.6786738257832455
kalshi,<=1h,1,10-20%,kalshi_contract_count,18,25.0,4671.0,0.0382262996941896,0.02213607692417055,0.7008099027074162
kalshi,<=1h,2,20-30%,kalshi_contract_count,11,12.0,2319.0,0.01834862385321101,0.01098984422760683,0.711799746935023
kalshi,<=1h,3,30-40%,kalshi_contract_count,6,17.0,2297.0,0.02599388379204893,0.010885585248302238,0.7226853321833252
kalshi,<=1h,4,40-50%,kalshi_contract_count,9,17.0,2228.0,0.02599388379204893,0.010558591176846923,0.7332439233601721
kalshi,<=1h,5,50-60%,kalshi_contract_count,6,19.0,2177.0,0.0290519877675841,0.010316899906640822,0.7435608232668129
kalshi,<=1h,6,60-70%,kalshi_contract_count,14,46.0,7229.0,0.07033639143730887,0.034258552790586365,0.7778193760573993
kalshi,<=1h,7,70-80%,kalshi_contract_count,14,48.0,8068.0,0.07339449541284404,0.038234611137702414,0.8160539871951017
kalshi,<=1h,8,80-90%,kalshi_contract_count,24,110.0,28652.0,0.16819571865443425,0.13578310341069033,0.951837090605792
kalshi,<=1h,9,90-100%,kalshi_contract_count,14,81.0,10163.0,0.12385321100917432,0.04816290939420794,1.0
kalshi,>180d,0,0-10%,kalshi_contract_count,1257,57317.0,6502590.0,0.037769182108120934,0.013011629474381567,0.013011629474381567
kalshi,>180d,1,10-20%,kalshi_contract_count,1211,43313.0,17977780.0,0.0285412108911674,0.03597339093068261,0.04898502040506418
kalshi,>180d,2,20-30%,kalshi_contract_count,1257,49449.0,16411429.0,0.03258454360947837,0.03283913537423094,0.08182415577929512
kalshi,>180d,3,30-40%,kalshi_contract_count,1282,64518.0,14258957.0,0.042514299269880595,0.028532056484437643,0.11035621226373277
kalshi,>180d,4,40-50%,kalshi_contract_count,1325,63651.0,16316845.0,0.041942987427185746,0.03264987356282889,0.14300608582656166
kalshi,>180d,5,50-60%,kalshi_contract_count,1342,64367.0,17760034.0,0.04241479743799257,0.03553768296331443,0.17854376878987607
kalshi,>180d,6,60-70%,kalshi_contract_count,1325,102480.0,27869281.0,0.06752945517804897,0.05576620363415534,0.23430997242403143
kalshi,>180d,7,70-80%,kalshi_contract_count,1359,121142.0,30886466.0,0.07982682727536308,0.06180356617364529,0.2961135385976767
kalshi,>180d,8,80-90%,kalshi_contract_count,1503,200266.0,65223259.0,0.1319657871846912,0.1305112084907126,0.4266247470883893
kalshi,>180d,9,90-100%,kalshi_contract_count,1560,751057.0,286545524.0,0.4949109096180711,0.5733752529116107,1.0
