platform,category_group,lifespan_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
kalshi,Crypto,<=1h,9,7,0.09444444444444444,-0.03444444444444444,-0.085,0.054000000000000006
kalshi,Crypto,1-6h,93457,20,0.046789860577591845,-0.027354826283745446,-0.03437291613234162,0.01932925827335768
kalshi,Crypto,6-24h,580,20,0.06213793103448276,-0.02951724137931034,-0.0228719723183391,0.03048387096774195
kalshi,Crypto,1-7d,20234,20,0.05515469012553129,-0.02729761787091034,-0.03335879996273176,0.026391500564121876
kalshi,Crypto,7-30d,1825,20,0.05330410958904107,-0.0017095890410959193,-0.03501809408926417,0.03697007481296751
kalshi,Crypto,30-180d,74,8,0.03810810810810812,-0.004594594594594584,-0.026944444444444444,0.017058823529411793
kalshi,Crypto,>180d,35,3,0.015714285714285705,0.0008571428571428484,-0.011818181818181818,0.022307692307692285
kalshi,Entertainment,<=1h,1,1,0.02,-0.02,-0.02,
kalshi,Entertainment,1-6h,12,4,0.04833333333333333,-0.04833333333333333,-0.030909090909090907,
kalshi,Entertainment,6-24h,381,20,0.041968503937007864,-0.01619422572178477,-0.004333333333333335,-0.024590163934426174
kalshi,Entertainment,1-7d,5908,20,0.01480704129993227,-0.012342586323628951,-0.01418297051529347,-0.003985680190930683
kalshi,Entertainment,7-30d,2400,20,0.04044583333333334,-0.021420833333333333,-0.026067498165810714,0.024656796769851958
kalshi,Entertainment,30-180d,1771,18,0.02647656691134954,-0.016211180124223578,-0.02009892827699918,0.014342379958246432
kalshi,Entertainment,>180d,223,10,0.02713004484304934,-0.005784753363228688,-0.01805714285714286,0.02261904761904768
kalshi,Esports,<=1h,22,8,0.17272727272727273,-0.17272727272727273,-0.07909090909090909,
kalshi,Esports,1-6h,2430,20,0.06998765432098765,-0.06660493827160494,-0.036259124087591244,0.07875000000000003
kalshi,Esports,6-24h,3694,20,0.035668651867893884,-0.03057390362750406,-0.02503182179793158,0.023571428571428476
kalshi,Esports,1-7d,1785,18,0.06973669467787116,-0.06894117647058824,-0.03,-0.004310344827586228
kalshi,Esports,7-30d,3,1,0.01333333333333333,-0.01333333333333333,-0.01333333333333333,
kalshi,Esports,>180d,9,2,0.012222222222222225,-0.01,-0.0125,0.010000000000000009
kalshi,Finance,1-6h,25018,20,0.05918498680949715,-0.0019374050683507863,-0.037054298138030996,0.038896706434179674
kalshi,Finance,6-24h,9616,20,0.043528494176372716,-0.03448523294509151,-0.03224961213583865,-0.007368024132730028
kalshi,Finance,1-7d,23147,20,0.023488141011794184,-0.01224953557696461,-0.018608940972222217,0.006853241296518619
