platform,lifespan_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
kalshi,<=1h,277,16,0.05523465703971119,-0.046642599277978335,-0.030414746543778803,0.028125000000000046
kalshi,1-6h,182462,20,0.041699696375135646,-0.02487131567120825,-0.02753424531003205,0.02353616729516627
kalshi,6-24h,125093,20,0.020778460825146103,-0.01973347829215063,-0.015157270594203819,0.0051992670636739615
kalshi,1-7d,211629,20,0.02256689773140731,-0.018149261207112462,-0.01410984174480169,0.00872242910340871
kalshi,7-30d,20872,20,0.027017056343426566,-0.01771080873898048,-0.01944275966641395,0.013903459372485822
kalshi,30-180d,11771,20,0.02038144592642935,-0.010367003653045631,-0.016711621233859393,0.012578040904198035
kalshi,>180d,1916,20,0.02219728601252609,-0.0027922755741127416,-0.011414473684210528,0.016006884681583455
polymarket,<=1h,315,12,0.06908596377998794,0.035254761278799236,0.12177272727272727,-0.11265141597220463
polymarket,1-6h,21226,20,0.015421828663684708,-0.006319700070431422,-0.011362374047793312,0.005521809291083437
polymarket,6-24h,23801,20,0.019721497011839794,-0.01692474835323549,0.004596280139119038,-0.020373621019299782
polymarket,1-7d,112764,20,0.005456104830282867,-0.00489907259294863,-0.0023917649532595466,-0.002327701614279993
polymarket,7-30d,54042,20,0.005587259691445393,-0.003914745562421878,-0.0007382153305896376,-0.007819105378430793
polymarket,30-180d,14925,20,0.005127256730423585,-0.0019321201541725756,-0.0020647733911195025,-0.0023953173303551366
polymarket,>180d,4408,20,0.006258586914895597,-0.002245903941761715,-0.0028975066901482816,0.002712880787955955
