platform,sample_scope,selected_market_count,source_trade_count,bucket_type,bucket,trade_count,contract_volume,yes_taker_share,mean_next_trade_move_cents,mean_abs_next_trade_move_cents,brier_score_yes_price,resolved_yes_win_rate
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,daypart_utc,00-05 overnight,1563166,764545555.0,0.8172458971088163,-0.00019127846946517517,0.2951529140219273,0.22342001290938687,0.4015734733227309
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,daypart_utc,06-11 morning,2540837,1254860555.0,0.7298744468850226,-0.00011452918860989509,0.44967189945675384,0.20444402604320652,0.4221829263349046
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,daypart_utc,12-17 afternoon,133750,89205194.0,0.6553196261682243,-0.0006504672897196262,0.4502056074766355,0.1379922818691691,0.4707289719626168
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,daypart_utc,18-23 evening,853094,527984767.0,0.7909644189268709,-5.50935770266817e-05,0.2723392732805529,0.20317562437429587,0.447852171038596
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,0,168154,87056076.0,0.7775015759363441,0.0008563578624356245,0.3197782984645028,0.21052569906158453,0.3858308455344506
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,1,224734,120104561.0,0.7847232728470103,-0.000373775218703,0.3521051554281951,0.19144395641068176,0.38180693620012995
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,2,198355,106597638.0,0.8098106929495097,0.00020670010839152024,0.30160570693957806,0.20155734012252643,0.42572660129565676
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,3,200330,102130257.0,0.8104677282483902,-0.001242949133929017,0.2975540358408626,0.22123359007637172,0.43853142315179955
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,4,284229,131644366.0,0.8110713544360357,0.00018295107114333863,0.2994627571430079,0.23450745631164355,0.42736314732135006
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,5,487364,217012657.0,0.8553688823959095,-0.00041652645661148545,0.2542678572894182,0.24594432970009966,0.37605773097725725
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,6,633323,266642869.0,0.8132943221705197,-0.00024000391585336393,0.33265174326528485,0.2504458227475633,0.4035634265611702
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,7,686963,350100327.0,0.7505295045002424,-0.00011208755056676998,0.4189264924020653,0.22125997964948946,0.3935321116275549
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,8,738465,357041609.0,0.6586771207843296,-0.0003696857670979667,0.5560927058154415,0.18490116119241734,0.43760232373910746
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,9,291472,158403933.0,0.6851258439918757,0.00028476148652357687,0.5379075863204699,0.13967901376462732,0.42890226162375805
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,10,108705,67902329.0,0.7436824433098753,0.0005979485764224276,0.3798261349523941,0.16882955521825474,0.5018168437514374
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,11,81909,54769488.0,0.694441392276795,0.0007691462476650917,0.4315887143048993,0.1616458789632484,0.5378285658474649
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,12,39792,29419027.0,0.6490500603136309,-0.0019350623240852432,0.4498642943305187,0.129682086851625,0.4971351025331725
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,13,15814,12348632.0,0.5479954470722145,-0.0018970532439610472,0.5497660300999114,0.10658000505880873,0.46022511698495006
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,14,9215,5936048.0,0.5829625610417797,-0.0004340748779164406,0.6415626695604992,0.11041603906673945,0.46804123711340206
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,15,8588,4264039.0,0.608290638099674,-0.0029110386585933863,0.5420353982300885,0.114609769445739,0.49161620866325106
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,16,12866,7983458.0,0.5503653039017565,0.004508005596144878,0.47862583553551996,0.09914431058604128,0.5090160111922898
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,17,47475,29253990.0,0.7473196419167983,-0.0001895734597156398,0.35587151132174827,0.17553151553449323,0.4384623486045287
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,18,89685,58390074.0,0.7768077158945197,-0.001237665161398227,0.2756871271673078,0.17849105313040475,0.42474215309137536
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,19,125368,82094903.0,0.7922675642907281,-0.00019941292833897006,0.2669660519430796,0.1864763049582243,0.45005104970965476
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,20,137179,81789708.0,0.7985697519299602,0.000918507934887993,0.2534790310470261,0.20021815729813863,0.46693006947127474
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,21,154788,91136668.0,0.7969739256273096,-0.0005685195234772721,0.2611701165465023,0.22394277463370066,0.48766700261002144
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,22,171959,99596950.0,0.7885775097552323,-0.00012212213376444384,0.2947039701324153,0.21947540343919192,0.45851627422815905
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,hour_utc,23,174115,114976464.0,0.7883410389684978,0.0004135198001320966,0.2771846193607673,0.19568459294146046,0.39721448467966575
