category_group,liquidity_quintile,liquidity_quintile_label,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_volume_contracts,median_open_interest_contracts
Sports,1,Q1 Lowest,80626,20,0.029258055714037657,-0.0291585840795773,-0.019141996989463117,0.000589198036006591,145.0,144.0
Sports,2,Q2 Low-Mid,77611,20,0.023180605841955394,-0.02255363286132121,-0.013292987126044232,0.0029450091217096573,319.0,314.0
Sports,3,Q3 Mid,63092,20,0.018296455969061057,-0.01815919609459202,-0.010007373014765958,-0.0005621442125236815,823.0,793.0
Sports,4,Q4 Mid-High,41672,20,0.019541178729122657,-0.017455365713188727,-0.010447303121326891,0.005678122123350624,2243.0,2061.0
Sports,5,Q5 Highest,38454,20,0.016473708846933957,-0.009108545274873913,-0.013445949005932704,0.008884549185753904,33130.0,22858.5
Crypto,1,Q1 Lowest,14046,20,0.05726114196212445,-0.03734942332336608,-0.04177808219178082,0.024740124740124773,142.0,123.0
Crypto,2,Q2 Low-Mid,15905,20,0.0622081106570261,-0.037756680289217213,-0.038201720093823305,0.024628403237674817,330.0,283.0
Crypto,3,Q3 Mid,23020,20,0.059859252823631616,-0.03537880104257168,-0.041876195444270556,0.025654105392156863,880.0,700.0
Crypto,4,Q4 Mid-High,33969,20,0.04898083546763225,-0.02702552327121788,-0.03585474023729985,0.0215071264367816,2723.0,1957.0
Crypto,5,Q5 Highest,29274,20,0.02735396597663458,-0.009295620687299283,-0.020255029944149114,0.01506783919597996,12805.0,6874.0
Finance,1,Q1 Lowest,8680,20,0.060369815668202764,-0.016427419354838723,-0.03624719101123596,0.03155967255493318,135.0,112.0
Finance,2,Q2 Low-Mid,8932,20,0.0531269592476489,-0.015478056426332272,-0.03524132730015083,0.030316529894490084,325.0,259.0
Finance,3,Q3 Mid,11240,20,0.047435943060498205,-0.00969395017793597,-0.0326855546687949,0.03031984149448054,866.5,600.0
Finance,4,Q4 Mid-High,14944,20,0.037921573875803,-0.010192719486081362,-0.027303908534964106,0.022259004788673757,2743.0,1727.0
Finance,5,Q5 Highest,19433,20,0.0195785519477178,-0.008874080172901762,-0.015336645081167388,0.010854246302143933,16605.0,8100.0
Weather,1,Q1 Lowest,1653,20,0.02660617059891107,-0.02297640653357532,-0.015557955363570916,-0.08109374999999991,149.0,137.0
Weather,2,Q2 Low-Mid,2702,20,0.029448556624722424,-0.015421909696521095,-0.020076372315035798,-0.03475000000000002,347.0,300.0
Weather,3,Q3 Mid,6181,20,0.02312570781426954,-0.008312570781426947,-0.015615950100245041,0.0062421185372005614,907.0,660.0
Weather,4,Q4 Mid-High,9455,20,0.015704918032786876,-0.0080560549973559,-0.01283892431383421,0.01302659574468082,2614.0,1720.0
Weather,5,Q5 Highest,10569,19,0.011988835272968136,-0.0049966884284227235,-0.0109505399280096,0.010923588039867189,14094.0,8185.0
Entertainment,1,Q1 Lowest,1386,20,0.04377344877344877,-0.0321139971139971,-0.02612365063788027,-0.014886877828054269,139.0,132.0
Entertainment,2,Q2 Low-Mid,1404,20,0.03391737891737893,-0.02491452991452994,-0.018225629791894852,0.007640845070422485,334.0,309.0
Entertainment,3,Q3 Mid,1795,20,0.028116991643454037,-0.01944846796657382,-0.02082910321489002,-0.00015113350125946164,876.0,730.0
Entertainment,4,Q4 Mid-High,2521,20,0.021015470051566856,-0.012669575565251863,-0.01907128842380641,0.006938239159001381,2729.0,2097.0
Entertainment,5,Q5 Highest,3590,20,0.016222841225626734,-0.004111420612813377,-0.009425458147597819,0.010358744394618815,18203.0,11059.0
Other,1,Q1 Lowest,1037,20,0.045486981677917065,-0.03520732883317262,-0.025852660300136426,-0.013111111111111113,142.0,127.0
Other,2,Q2 Low-Mid,1071,20,0.04457516339869281,-0.034957983193277316,-0.03181564245810056,0.013529411764705864,339.0,300.0
Other,3,Q3 Mid,1607,20,0.034467952706907265,-0.02874299937772246,-0.0189564336372847,-0.005732647814909981,863.0,663.0
Other,4,Q4 Mid-High,2601,20,0.022622068435217236,-0.007527873894655894,-0.01583826429980276,0.012513227513227539,2790.0,1965.0
Other,5,Q5 Highest,2892,20,0.0200726141078838,-0.006047717842323666,-0.01625949736995909,0.014339805825242677,15409.5,8618.0
Esports,1,Q1 Lowest,2737,20,0.06330654000730726,-0.061574716843259034,-0.04224945533769063,-0.03999999999999999,143.0,141.0
Esports,2,Q2 Low-Mid,2240,18,0.055,-0.054348214285714284,-0.026876623376623377,0.05399999999999998,320.0,314.0
Esports,3,Q3 Mid,1750,19,0.04607428571428572,-0.038497142857142855,-0.02210847975553858,0.09499999999999995,789.5,774.5
Esports,4,Q4 Mid-High,869,20,0.043716915995397,-0.038492520138089764,-0.018924731182795695,0.015217391304347868,2240.0,2142.0
Esports,5,Q5 Highest,347,18,0.036282420749279544,-0.03080691642651297,-0.02038647342995169,0.00815217391304346,15155.0,11262.0
Media,1,Q1 Lowest,443,19,0.06625282167042891,-0.06431151241534985,-0.03667785234899329,-0.04599999999999987,142.0,126.0
