category_group,liquidity_quintile,liquidity_quintile_label,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Sports,1,Q1 Lowest,0,2.5,0-5,28288,371,0.013115101809954751,0.020618990384615385,-0.0075038885746606335,0.011853868065681351,0.014508558620604071
Sports,1,Q1 Lowest,5,7.5,5-10,23325,1022,0.043815648445873524,0.06934748124330117,-0.02553183279742765,0.04126308915789166,0.04651844903901563
Sports,1,Q1 Lowest,10,12.5,10-15,8177,643,0.07863519628225511,0.1198116668704904,-0.04117647058823529,0.07299685009480122,0.08466927560062845
Sports,1,Q1 Lowest,15,17.5,15-20,5484,637,0.1161560904449307,0.16776622902990518,-0.05161013858497447,0.10794310453260943,0.12490647334150413
Sports,1,Q1 Lowest,20,22.5,20-25,3616,618,0.1709070796460177,0.21949115044247786,-0.048584070796460155,0.15898846855534005,0.1835241982972648
Sports,1,Q1 Lowest,25,27.5,25-30,2606,580,0.22256331542594013,0.2687029930928626,-0.04613967766692248,0.2070073722933859,0.23893601369601664
Sports,1,Q1 Lowest,30,32.5,30-35,1833,439,0.23949809056192034,0.31737043098745227,-0.07787234042553193,0.2205179310460611,0.25956788582568224
Sports,1,Q1 Lowest,35,37.5,35-40,1557,449,0.28837508028259473,0.3677071290944124,-0.07933204881181766,0.2664158671910041,0.3113760112417594
Sports,1,Q1 Lowest,40,42.5,40-45,1168,410,0.351027397260274,0.419041095890411,-0.06801369863013701,0.32418356469483717,0.37884797130798104
Sports,1,Q1 Lowest,45,47.5,45-50,1219,448,0.3675143560295324,0.4676374077112387,-0.10012305168170627,0.3409043656527502,0.3949567630494465
Sports,1,Q1 Lowest,50,52.5,50-55,601,268,0.4459234608985025,0.5170549084858569,-0.0711314475873544,0.4066512895742221,0.4858825573040349
Sports,1,Q1 Lowest,55,57.5,55-60,347,162,0.4668587896253602,0.5678097982708934,-0.10095100864553319,0.415015134093162,0.5194282158402552
Sports,1,Q1 Lowest,60,62.5,60-65,223,111,0.4977578475336323,0.6205829596412556,-0.12282511210762337,0.43272887140710037,0.5628627661055957
Sports,1,Q1 Lowest,65,67.5,65-70,153,69,0.45098039215686275,0.6690196078431373,-0.21803921568627455,0.3742967741616633,0.5300653338504968
Sports,1,Q1 Lowest,70,72.5,70-75,77,46,0.5974025974025974,0.7212987012987013,-0.12389610389610395,0.48576649330491517,0.6997815413703016
Sports,1,Q1 Lowest,75,77.5,75-80,68,42,0.6176470588235294,0.7670588235294118,-0.14941176470588236,0.49880494200915176,0.7239072470289543
Sports,1,Q1 Lowest,80,82.5,80-85,51,39,0.7647058823529411,0.8154901960784313,-0.05078431372549019,0.632375118636542,0.8599518740113747
Sports,1,Q1 Lowest,85,87.5,85-90,45,36,0.8,0.865111111111111,-0.06511111111111101,0.6617674868607056,0.8910399559749099
Sports,1,Q1 Lowest,90,92.5,90-95,93,88,0.946236559139785,0.930752688172043,0.015483870967741953,0.8802500214822403,0.976819667577007
Sports,1,Q1 Lowest,95,97.5,95-100,1695,1676,0.9887905604719764,0.9872743362831858,0.0015162241887906047,0.9825583140187668,0.9928121972755175
Sports,2,Q2 Low-Mid,0,2.5,0-5,43088,478,0.011093575937616042,0.01913525807649462,-0.008041682138878577,0.010147257005201598,0.012127066030460916
Sports,2,Q2 Low-Mid,5,7.5,5-10,11544,481,0.041666666666666664,0.06673423423423423,-0.025067567567567568,0.038171280622961726,0.045466998585855956
Sports,2,Q2 Low-Mid,10,12.5,10-15,5101,444,0.08704175651832974,0.11804548127818075,-0.031003724759851012,0.0796131719687064,0.09509187666590743
Sports,2,Q2 Low-Mid,15,17.5,15-20,3486,419,0.12019506597819851,0.16903040734366037,-0.04883534136546186,0.10981584373103122,0.1314104629299932
Sports,2,Q2 Low-Mid,20,22.5,20-25,2926,486,0.16609706083390294,0.21711893369788107,-0.051021872863978135,0.15305139977955115,0.18001834706273548
Sports,2,Q2 Low-Mid,25,27.5,25-30,1936,427,0.22055785123966942,0.2699690082644628,-0.04941115702479337,0.2026516876862282,0.239570811305442
Sports,2,Q2 Low-Mid,30,32.5,30-35,1505,356,0.23654485049833887,0.31694352159468436,-0.08039867109634549,0.21576227149727203,0.25866897430082897
Sports,2,Q2 Low-Mid,35,37.5,35-40,1212,348,0.2871287128712871,0.3691914191419142,-0.08206270627062712,0.26236152959910586,0.3132410817936938
Sports,2,Q2 Low-Mid,40,42.5,40-45,948,324,0.34177215189873417,0.4205801687763713,-0.07880801687763711,0.31227183272313697,0.3725496753933395
Sports,2,Q2 Low-Mid,45,47.5,45-50,679,242,0.35640648011782033,0.46879234167893963,-0.1123858615611193,0.3212820660219689,0.39314658038738864
Sports,2,Q2 Low-Mid,50,52.5,50-55,517,209,0.40425531914893614,0.5175628626692457,-0.11330754352030953,0.36280912338207016,0.44711389351980557
Sports,2,Q2 Low-Mid,55,57.5,55-60,280,115,0.4107142857142857,0.5688214285714286,-0.1581071428571429,0.3546763708067004,0.469169041564143
Sports,2,Q2 Low-Mid,60,62.5,60-65,173,82,0.47398843930635837,0.6195375722543353,-0.1455491329479769,0.4009568271633665,0.5481501702851976
Sports,2,Q2 Low-Mid,65,67.5,65-70,146,80,0.547945205479452,0.6693835616438356,-0.12143835616438359,0.4670164917958918,0.6264155057268256
Sports,2,Q2 Low-Mid,70,72.5,70-75,74,45,0.6081081081081081,0.7212162162162162,-0.11310810810810812,0.4941931053499984,0.7113525155005493
Sports,2,Q2 Low-Mid,75,77.5,75-80,87,49,0.5632183908045977,0.7695402298850574,-0.20632183908045976,0.45851365231750213,0.6625762448221343
Sports,2,Q2 Low-Mid,80,82.5,80-85,72,50,0.6944444444444444,0.8184722222222223,-0.12402777777777785,0.5804553438658896,0.7887351795407894
Sports,2,Q2 Low-Mid,85,87.5,85-90,48,36,0.75,0.8666666666666667,-0.1166666666666667,0.6121535625207293,0.8507951119028996
Sports,2,Q2 Low-Mid,90,92.5,90-95,152,134,0.881578947368421,0.9304605263157895,-0.04888157894736844,0.8205787323018284,0.9237668082983707
Sports,2,Q2 Low-Mid,95,97.5,95-100,3637,3612,0.9931262029144899,0.9864366235908716,0.006689579323618355,0.9898720787854762,0.9953396920314688
Sports,3,Q3 Mid,0,2.5,0-5,40023,304,0.007595632511305999,0.012081053394298278,-0.004485420882992279,0.00679101598593757,0.008494766642487451
Sports,3,Q3 Mid,5,7.5,5-10,7033,288,0.040949808047774774,0.06848144461822836,-0.027531636570453585,0.03656328932414166,0.04583754232169217
Sports,3,Q3 Mid,10,12.5,10-15,3127,242,0.07739047009913655,0.11866005756315959,-0.04126958746402304,0.06853461542943601,0.0872834240395681
Sports,3,Q3 Mid,15,17.5,15-20,2260,277,0.12256637168141593,0.1678008849557522,-0.04523451327433628,0.10968259630918627,0.13673111037417884
Sports,3,Q3 Mid,20,22.5,20-25,1348,207,0.15356083086053413,0.21939910979228486,-0.06583827893175073,0.135301105160859,0.1737895456964604
Sports,3,Q3 Mid,25,27.5,25-30,1184,253,0.21368243243243243,0.26956925675675675,-0.05588682432432432,0.19127906591873456,0.23793775895084396
Sports,3,Q3 Mid,30,32.5,30-35,832,217,0.2608173076923077,0.3183894230769231,-0.057572115384615374,0.23212910694330396,0.29170411695940685
Sports,3,Q3 Mid,35,37.5,35-40,785,234,0.2980891719745223,0.3686751592356688,-0.07058598726114651,0.26713641340655103,0.3310085120132038
Sports,3,Q3 Mid,40,42.5,40-45,582,179,0.3075601374570447,0.41871134020618556,-0.11115120274914086,0.2714308360389498,0.34621325069029585
Sports,3,Q3 Mid,45,47.5,45-50,536,212,0.39552238805970147,0.4692723880597015,-0.07375000000000004,0.3550115810099873,0.43752015422494084
Sports,3,Q3 Mid,50,52.5,50-55,431,146,0.33874709976798145,0.5176798143851508,-0.1789327146171693,0.29566403226405813,0.38467933874736304
Sports,3,Q3 Mid,55,57.5,55-60,198,84,0.42424242424242425,0.5678787878787879,-0.14363636363636362,0.35748581888874453,0.49388277906133116
Sports,3,Q3 Mid,60,62.5,60-65,165,77,0.4666666666666667,0.6187878787878788,-0.1521212121212121,0.3921690859511836,0.5426810931515966
Sports,3,Q3 Mid,65,67.5,65-70,102,50,0.49019607843137253,0.6710784313725491,-0.18088235294117655,0.39531235331103515,0.5857914848773521
Sports,3,Q3 Mid,70,72.5,70-75,80,46,0.575,0.7184999999999999,-0.14349999999999996,0.46569091970838705,0.6774361198519266
Sports,3,Q3 Mid,75,77.5,75-80,95,61,0.6421052631578947,0.77,-0.12789473684210528,0.5419132697778168,0.7312510658865188
Sports,3,Q3 Mid,80,82.5,80-85,95,74,0.7789473684210526,0.818,-0.03905263157894734,0.685583903550731,0.8506275701607429
Sports,3,Q3 Mid,85,87.5,85-90,52,41,0.7884615384615384,0.8690384615384616,-0.08057692307692321,0.659676348640899,0.877557541505515
Sports,3,Q3 Mid,90,92.5,90-95,162,148,0.9135802469135802,0.929074074074074,-0.015493827160493856,0.8601749328363962,0.9478249899815215
Sports,3,Q3 Mid,95,97.5,95-100,4002,3955,0.988255872063968,0.9871739130434782,0.0010819590204897978,0.9844187198315701,0.9911565500443034
Sports,4,Q4 Mid-High,0,2.5,0-5,26272,119,0.004529537149817296,0.0098298568818514,-0.005300319732034105,0.003786820741363101,0.005417131835364261
Sports,4,Q4 Mid-High,5,7.5,5-10,2951,94,0.03185360894611996,0.06478481870552355,-0.03293120975940359,0.026101093937370853,0.03882340150766417
Sports,4,Q4 Mid-High,10,12.5,10-15,1405,82,0.058362989323843414,0.11782918149466193,-0.05946619217081851,0.047266620676533325,0.07186785121867476
Sports,4,Q4 Mid-High,15,17.5,15-20,839,83,0.09892729439809297,0.16852205005959475,-0.06959475566150178,0.08051584827535,0.12099485076940528
Sports,4,Q4 Mid-High,20,22.5,20-25,658,92,0.1398176291793313,0.21919452887537993,-0.07937689969604864,0.11540432445039152,0.16841222621671673
Sports,4,Q4 Mid-High,25,27.5,25-30,626,127,0.20287539936102236,0.269073482428115,-0.06619808306709266,0.173229008521958,0.2361463010796942
Sports,4,Q4 Mid-High,30,32.5,30-35,459,110,0.23965141612200436,0.31773420479302833,-0.07808278867102397,0.20286248075449576,0.28076215454189946
Sports,4,Q4 Mid-High,35,37.5,35-40,382,85,0.22251308900523561,0.3694240837696335,-0.14691099476439787,0.18368135491285598,0.26687037408681646
Sports,4,Q4 Mid-High,40,42.5,40-45,335,87,0.25970149253731345,0.418,-0.15829850746268653,0.21565918594001166,0.309192544189937
Sports,4,Q4 Mid-High,45,47.5,45-50,343,117,0.34110787172011664,0.47046647230320704,-0.1293586005830904,0.29294327733471714,0.39279222844082995
Sports,4,Q4 Mid-High,50,52.5,50-55,260,105,0.40384615384615385,0.5153461538461539,-0.11150000000000004,0.3460228280101389,0.4644695280095335
Sports,4,Q4 Mid-High,55,57.5,55-60,181,79,0.43646408839779005,0.5671823204419889,-0.13071823204419886,0.3662748072982408,0.5092943286538392
Sports,4,Q4 Mid-High,60,62.5,60-65,134,68,0.5074626865671642,0.6184328358208956,-0.11097014925373139,0.42379268371744927,0.5907167241826332
Sports,4,Q4 Mid-High,65,67.5,65-70,88,49,0.5568181818181818,0.6710227272727274,-0.11420454545454561,0.4528160324206779,0.6560670880824492
Sports,4,Q4 Mid-High,70,72.5,70-75,62,36,0.5806451612903226,0.7179032258064517,-0.1372580645161291,0.45665361737846166,0.6952260453271835
Sports,4,Q4 Mid-High,75,77.5,75-80,66,38,0.5757575757575758,0.7701515151515151,-0.19439393939393934,0.4556043708792928,0.6875767704462209
Sports,4,Q4 Mid-High,80,82.5,80-85,93,72,0.7741935483870968,0.8182795698924731,-0.04408602150537633,0.6793336026404615,0.8472995797935337
Sports,4,Q4 Mid-High,85,87.5,85-90,51,40,0.7843137254901961,0.8715686274509804,-0.08725490196078434,0.6537337712118703,0.8750618875581144
Sports,4,Q4 Mid-High,90,92.5,90-95,165,151,0.9151515151515152,0.9272727272727274,-0.0121212121212122,0.8626249447352786,0.9487864609846387
Sports,4,Q4 Mid-High,95,97.5,95-100,6302,6269,0.9947635671215487,0.9878673437004126,0.00689622342113605,0.9926554273693118,0.9962688741862489
Sports,5,Q5 Highest,0,2.5,0-5,20770,15,0.0007221954742416948,0.011139624458353394,-0.0104174289841117,0.00043772191949828813,0.0011913267972301577
Sports,5,Q5 Highest,5,7.5,5-10,904,9,0.00995575221238938,0.06449115044247787,-0.05453539823008849,0.005246406424648923,0.018812416171715904
Sports,5,Q5 Highest,10,12.5,10-15,407,16,0.03931203931203931,0.11604422604422604,-0.07673218673218674,0.024340332969034175,0.06289912866289403
Sports,5,Q5 Highest,15,17.5,15-20,251,20,0.0796812749003984,0.16776892430278884,-0.08808764940239043,0.05217080439622401,0.11986390265317454
Sports,5,Q5 Highest,20,22.5,20-25,182,16,0.08791208791208792,0.21846153846153846,-0.13054945054945055,0.05483643240416924,0.13802458472009144
Sports,5,Q5 Highest,25,27.5,25-30,135,24,0.17777777777777778,0.2685185185185185,-0.0907407407407407,0.12247545696005419,0.25091119372677173
Sports,5,Q5 Highest,30,32.5,30-35,130,22,0.16923076923076924,0.3161538461538462,-0.14692307692307693,0.11449479772228963,0.24295460515394615
Sports,5,Q5 Highest,35,37.5,35-40,118,23,0.19491525423728814,0.37313559322033896,-0.1782203389830508,0.13353979782234554,0.27552902596197765
Sports,5,Q5 Highest,40,42.5,40-45,73,15,0.2054794520547945,0.41602739726027393,-0.21054794520547943,0.1286685959377339,0.3117386834525963
Sports,5,Q5 Highest,45,47.5,45-50,74,16,0.21621621621621623,0.47216216216216217,-0.25594594594594594,0.13770335267426506,0.32273939259304707
Sports,5,Q5 Highest,50,52.5,50-55,75,21,0.28,0.5133333333333333,-0.23333333333333328,0.19103020085378442,0.3904090393442836
Sports,5,Q5 Highest,55,57.5,55-60,59,17,0.288135593220339,0.5688135593220339,-0.28067796610169493,0.1883634728582083,0.4138108829825087
