platform,liquidity_quintile,liquidity_quintile_label,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,1,Q1 Lowest,0,2.5,0-5,38137,415,0.010881820803943676,0.02014107035162703,-0.009259249547683354,0.009888716691807567,0.011973454278221577
kalshi,1,Q1 Lowest,5,7.5,5-10,27960,1065,0.038090128755364806,0.06890701001430616,-0.030816881258941352,0.0359091617309692,0.040398007738907935
kalshi,1,Q1 Lowest,10,12.5,10-15,10397,701,0.0674232951813023,0.11926421083004714,-0.05184091564874484,0.06276128650274906,0.07240485236047525
kalshi,1,Q1 Lowest,15,17.5,15-20,6750,697,0.10325925925925926,0.16793185185185183,-0.06467259259259257,0.09622405986255186,0.11074579267292955
kalshi,1,Q1 Lowest,20,22.5,20-25,4565,703,0.15399780941949617,0.21883899233296822,-0.06484118291347205,0.1438183255513622,0.16475914844117018
kalshi,1,Q1 Lowest,25,27.5,25-30,3328,639,0.19200721153846154,0.2685246394230769,-0.07651742788461538,0.17898314761692652,0.20574150435932592
kalshi,1,Q1 Lowest,30,32.5,30-35,2366,521,0.22020287404902789,0.31719357565511413,-0.09699070160608625,0.20396632761369105,0.237346543254978
kalshi,1,Q1 Lowest,35,37.5,35-40,1993,541,0.27145007526342196,0.3679126944305068,-0.09646261916708482,0.25237923153295816,0.29140030511131043
kalshi,1,Q1 Lowest,40,42.5,40-45,1565,522,0.33354632587859423,0.41884345047923327,-0.08529712460063904,0.3106195608882849,0.3572882763337776
kalshi,1,Q1 Lowest,45,47.5,45-50,1595,582,0.36489028213166147,0.4679561128526646,-0.10306583072100312,0.34161556928200815,0.3888142619157791
kalshi,1,Q1 Lowest,50,52.5,50-55,1014,466,0.45956607495069035,0.5161834319526627,-0.056617357001972346,0.42910140000638947,0.49033596627928805
kalshi,1,Q1 Lowest,55,57.5,55-60,629,313,0.49761526232114467,0.56879173290938,-0.07117647058823534,0.45867380151692794,0.5365856757361476
kalshi,1,Q1 Lowest,60,62.5,60-65,505,310,0.6138613861386139,0.6186732673267327,-0.004811881188118816,0.5706899977012541,0.6553135366009728
