platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2021-08,95,97.5,95-100,63,63,1.0,0.9866666666666667,0.013333333333333308,0.9425268096514744,0.9999999999999999
kalshi,2021-09,0,2.5,0-5,81,1,0.012345679012345678,0.013580246913580247,-0.0012345679012345685,0.0021825938606520115,0.06667042164117726
kalshi,2021-09,5,7.5,5-10,9,0,0.0,0.07333333333333333,-0.07333333333333333,0.0,0.2991527535509594
kalshi,2021-09,10,12.5,10-15,2,1,0.5,0.14,0.36,0.09452865480086614,0.9054713451991339
kalshi,2021-09,15,17.5,15-20,1,0,0.0,0.16,-0.16,0.0,0.7934567085261071
kalshi,2021-09,20,22.5,20-25,2,1,0.5,0.225,0.275,0.09452865480086614,0.9054713451991339
kalshi,2021-09,25,27.5,25-30,2,0,0.0,0.255,-0.255,0.0,0.6576280471103807
kalshi,2021-09,35,37.5,35-40,3,0,0.0,0.36333333333333334,-0.36333333333333334,0.0,0.5615060804490177
kalshi,2021-09,40,42.5,40-45,2,1,0.5,0.425,0.07500000000000001,0.09452865480086614,0.9054713451991339
kalshi,2021-09,45,47.5,45-50,1,1,1.0,0.49,0.51,0.20654329147389294,1.0
kalshi,2021-09,50,52.5,50-55,1,0,0.0,0.51,-0.51,0.0,0.7934567085261071
kalshi,2021-09,55,57.5,55-60,1,1,1.0,0.59,0.41000000000000003,0.20654329147389294,1.0
kalshi,2021-09,60,62.5,60-65,1,0,0.0,0.62,-0.62,0.0,0.7934567085261071
kalshi,2021-09,65,67.5,65-70,1,1,1.0,0.66,0.33999999999999997,0.20654329147389294,1.0
kalshi,2021-09,70,72.5,70-75,4,4,1.0,0.7175,0.2825,0.5100999795960008,1.0
kalshi,2021-09,75,77.5,75-80,1,1,1.0,0.76,0.24,0.20654329147389294,1.0
kalshi,2021-09,80,82.5,80-85,2,2,1.0,0.815,0.18500000000000005,0.34237195288961925,1.0
kalshi,2021-09,85,87.5,85-90,2,1,0.5,0.875,-0.375,0.09452865480086614,0.9054713451991339
kalshi,2021-09,90,92.5,90-95,2,2,1.0,0.94,0.06000000000000005,0.34237195288961925,1.0
kalshi,2021-09,95,97.5,95-100,93,93,1.0,0.9847311827956989,0.015268817204301066,0.9603310973796383,0.9999999999999999
kalshi,2021-10,0,2.5,0-5,92,0,0.0,0.016195652173913045,-0.016195652173913045,0.0,0.04008280329209862
kalshi,2021-10,5,7.5,5-10,7,0,0.0,0.0642857142857143,-0.0642857142857143,0.0,0.35433884297520657
kalshi,2021-10,10,12.5,10-15,2,0,0.0,0.12,-0.12,0.0,0.6576280471103807
kalshi,2021-10,15,17.5,15-20,5,1,0.2,0.174,0.026000000000000023,0.03622316096978745,0.6244717358814613
kalshi,2021-10,20,22.5,20-25,1,1,1.0,0.23,0.77,0.20654329147389294,1.0
kalshi,2021-10,25,27.5,25-30,1,0,0.0,0.29,-0.29,0.0,0.7934567085261071
kalshi,2021-10,30,32.5,30-35,1,0,0.0,0.31,-0.31,0.0,0.7934567085261071
kalshi,2021-10,35,37.5,35-40,3,0,0.0,0.36333333333333334,-0.36333333333333334,0.0,0.5615060804490177
kalshi,2021-10,40,42.5,40-45,2,1,0.5,0.405,0.09499999999999997,0.09452865480086614,0.9054713451991339
kalshi,2021-10,50,52.5,50-55,1,1,1.0,0.52,0.48,0.20654329147389294,1.0
kalshi,2021-10,55,57.5,55-60,2,0,0.0,0.57,-0.57,0.0,0.6576280471103807
kalshi,2021-10,60,62.5,60-65,1,1,1.0,0.64,0.36,0.20654329147389294,1.0
kalshi,2021-10,75,77.5,75-80,1,1,1.0,0.77,0.22999999999999998,0.20654329147389294,1.0
kalshi,2021-10,80,82.5,80-85,2,2,1.0,0.805,0.19499999999999995,0.34237195288961925,1.0
kalshi,2021-10,85,87.5,85-90,2,2,1.0,0.87,0.13,0.34237195288961925,1.0
kalshi,2021-10,90,92.5,90-95,5,5,1.0,0.9279999999999999,0.07200000000000006,0.5655085052479191,1.0
kalshi,2021-10,95,97.5,95-100,104,103,0.9903846153846154,0.9830769230769231,0.007307692307692348,0.9475309933230526,0.998300670895579
kalshi,2021-11,0,2.5,0-5,91,0,0.0,0.015494505494505494,-0.015494505494505494,0.0,0.04050543221539915
kalshi,2021-11,5,7.5,5-10,5,0,0.0,0.068,-0.068,0.0,0.43449149475208104
kalshi,2021-11,10,12.5,10-15,6,0,0.0,0.12166666666666666,-0.12166666666666666,0.0,0.3903430336530645
kalshi,2021-11,15,17.5,15-20,2,1,0.5,0.155,0.345,0.09452865480086614,0.9054713451991339
