category_group,category_mid,horizon_label,horizon_hours,freshness_filter,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,baseline_market_count,retained_share
Crypto,Bitcoin,3d,72.0,all,1188,20,0.04345959595959598,0.008122895622895615,0.0055203619909502235,-0.05269005847953218,1188,1.0
Crypto,Bitcoin,1d,24.0,all,2783,20,0.025860582105641385,-0.01191879266978081,-0.012931442080378247,-0.00918859649122809,2783,1.0
Crypto,Bitcoin,1d,24.0,<=1h,1667,20,0.031175764847030586,-0.012807438512297537,-0.002352941176470587,-0.03382022471910113,2783,0.59899389148401
Crypto,Bitcoin,1d,24.0,<=6h,2031,20,0.024771048744460865,-0.00782373215164944,-0.006791277258566977,-0.008339483394833943,2783,0.7297879985627022
Crypto,Bitcoin,1d,24.0,<=24h,2289,20,0.024740061162079503,-0.010244648318042802,-0.009027181688125899,-0.007294117647058779,2783,0.8224937118217751
Crypto,Bitcoin,6h,6.0,all,11419,20,0.029622558893072956,-0.012899553375952354,-0.01688214426487978,0.017746126936531777,11419,1.0
Crypto,Bitcoin,6h,6.0,<=1h,5792,20,0.0247807320441989,-0.021010013812154695,-0.01872350230414747,-0.0010771113831089547,11419,0.5072248007706455
Crypto,Bitcoin,6h,6.0,<=6h,8729,20,0.024184900905029214,-0.014561805475999542,-0.014712298881919831,0.009922371206774876,11419,0.7644277082056222
Crypto,Bitcoin,6h,6.0,<=24h,11073,20,0.02790842590083989,-0.012805021222794173,-0.015984956291929253,0.017993730407523563,11419,0.9696996234346265
Crypto,Bitcoin,1h,1.0,all,12592,20,0.050438373570520965,-0.016124523506988547,-0.04009054163298302,0.04189816418427438,12592,1.0
Crypto,Bitcoin,1h,1.0,<=1h,5392,20,0.033642433234421364,-0.011750741839762616,-0.033990338164251205,0.01670212765957445,12592,0.42820838627700125
Crypto,Bitcoin,1h,1.0,<=6h,9787,20,0.045546132624910585,-0.015128231327270881,-0.03837097127822846,0.035862224223322754,12592,0.7772395171537484
Crypto,Bitcoin,1h,1.0,<=24h,12247,20,0.049554993059524786,-0.016364824038540053,-0.039986702127659576,0.041196001428061395,12592,0.9726016518424396
Crypto,Ethereum,6h,6.0,all,4987,20,0.030647683978343693,-0.022398235412071376,-0.0017986067131095607,0.005690515806988356,4987,1.0
Crypto,Ethereum,6h,6.0,<=1h,2335,20,0.033507494646680944,-0.023374732334047115,-0.009894736842105267,0.01078853046594982,4987,0.4682173651493884
Crypto,Ethereum,6h,6.0,<=6h,3961,20,0.027275940419086094,-0.019535470840696793,-0.006356783919597989,0.006491596638655456,4987,0.7942650892320032
Crypto,Ethereum,6h,6.0,<=24h,4969,20,0.030800965989132626,-0.022501509358019717,-0.0016368286445012801,0.0054090150250417305,4987,0.9963906156005614
Crypto,Ethereum,1h,1.0,all,5812,20,0.06234858912594632,-0.026305918788713006,-0.03961751152073733,0.04250749250749249,5812,1.0
Crypto,Ethereum,1h,1.0,<=1h,2288,20,0.045952797202797206,-0.01131993006993007,-0.03014771048744461,0.024352617079889807,5812,0.3936682725395733
Crypto,Ethereum,1h,1.0,<=6h,4623,20,0.061524983776768336,-0.02412935323383085,-0.04099567099567099,0.0421135265700483,5812,0.7954232622161046
Crypto,Ethereum,1h,1.0,<=24h,5796,20,0.062408557625948935,-0.026400966183574875,-0.03973574408901252,0.04241241241241243,5812,0.9972470750172058
Crypto,Other Crypto,6h,6.0,all,3327,20,0.0375834084761046,-0.005229936880072134,0.045952380952380946,-0.023573667711598717,3327,1.0
Crypto,Other Crypto,6h,6.0,<=1h,1049,20,0.03943755958055291,0.0028312678741658557,0.015000000000000001,0.03243589743589736,3327,0.3152990682296363
