platform,segment,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap
kalshi,high_tail_ge_85c,104173,102750.0,0.986340030526144,0.9716892092960749,0.014650821230069111
kalshi,low_tail_lt_15c,362159,5688.0,0.015705808774599,0.03434737228675802,-0.01864156351215902
polymarket,high_tail_ge_85c,67059,65974.0,0.9838202180169702,0.9872789600937139,-0.0034587420767436816
polymarket,low_tail_lt_15c,117500,1262.0,0.010740425531914894,0.01324257452007514,-0.0025021489881602455
pooled,high_tail_ge_85c,171232,168724.0,0.9853532050084096,0.9777945698521555,0.007558635156254101
pooled,low_tail_lt_15c,479659,6950.0,0.014489460220698455,0.02917742084712015,-0.014687960626421696
