predictor,level,baseline_level,coefficient,std_error,ci_low,ci_high,row_count,weight_sum,control_family
category_group,Finance,Sports,0.01311293299120935,0.0011718199777366119,0.010816165834845591,0.015409700147573108,4906,2621363.0,freshness
category_group,Weather,Sports,0.004679881099387681,0.001183145572880541,0.0023609157765418203,0.006998846422233541,4906,2621363.0,freshness
category_group,Crypto,Sports,0.006728331075631726,0.0015107974870605405,0.003767168000993067,0.009689494150270386,4906,2621363.0,freshness
category_group,Entertainment,Sports,-0.008806838610389334,0.0019108242346716404,-0.012552054110345748,-0.005061623110432919,4906,2621363.0,freshness
category_group,Other,Sports,-2.351440158845755e-05,0.0020646498478219355,-0.004070228103319451,0.004023199300142536,4906,2621363.0,freshness
category_group,Esports,Sports,-0.025542923335944073,0.002930881858081752,-0.03128745177778431,-0.01979839489410384,4906,2621363.0,freshness
category_group,Media,Sports,-0.026423413579157895,0.002221034273205852,-0.030776640754641364,-0.022070186403674426,4906,2621363.0,freshness
category_group,Politics,Sports,-0.00016548851776117352,0.0022676946893785475,-0.0046101701089431265,0.00427919307342078,4906,2621363.0,freshness
category_group,Science/Tech,Sports,-0.011415534937710527,0.00861200520568717,-0.028295065140857376,0.005463995265436323,4906,2621363.0,freshness
category_group,World Events,Sports,0.07042152092642684,0.010146877019966388,0.05053364196729272,0.09030939988556096,4906,2621363.0,freshness
freshness_filter,<=1h,all,0.0042484298821341806,0.001247002837786474,0.0018043043200726915,0.006692555444195669,4906,2621363.0,freshness
freshness_filter,<=6h,all,-0.0008233893699375376,0.0009310860994756921,-0.0026483181249098943,0.0010015393850348188,4906,2621363.0,freshness
freshness_filter,<=24h,all,-0.0010108643661886265,0.0008247144159038537,-0.00262730462136018,0.0006055758889829267,4906,2621363.0,freshness
horizon_label,7d,30d,-0.005857225335197918,0.0048912376287547,-0.015444051087557129,0.003729600417161294,4906,2621363.0,freshness
horizon_label,3d,30d,0.001802075892332969,0.004447024578090508,-0.006914092280724426,0.010518244065390363,4906,2621363.0,freshness
horizon_label,1d,30d,-0.004182647191083754,0.004279279053701193,-0.012570034136338093,0.004204739754170584,4906,2621363.0,freshness
horizon_label,6h,30d,-0.006671983327091189,0.004237207182745274,-0.014976909405271925,0.0016329427510895483,4906,2621363.0,freshness
horizon_label,1h,30d,-0.015333041038882016,0.004235761531897229,-0.023635133641400585,-0.0070309484363634475,4906,2621363.0,freshness
price_bucket_5c_label,5-10,0-5,-0.01592124113538495,0.0011241017982108275,-0.01812448065987817,-0.013718001610891727,4906,2621363.0,freshness
price_bucket_5c_label,10-15,0-5,-0.022562420416302815,0.0014509471091474842,-0.025406276750231882,-0.019718564082373748,4906,2621363.0,freshness
price_bucket_5c_label,15-20,0-5,-0.030350824320408153,0.0016385867487220022,-0.03356245434790328,-0.02713919429291303,4906,2621363.0,freshness
price_bucket_5c_label,20-25,0-5,-0.028410888454954767,0.001787607528810078,-0.03191459921142252,-0.024907177698487014,4906,2621363.0,freshness
price_bucket_5c_label,25-30,0-5,-0.028386567673773917,0.0018961502471215102,-0.03210302215813208,-0.024670113189415758,4906,2621363.0,freshness
price_bucket_5c_label,30-35,0-5,-0.02766925108667047,0.0020383188677484706,-0.03166435606745747,-0.023674146105883465,4906,2621363.0,freshness
price_bucket_5c_label,35-40,0-5,-0.031180694347325434,0.0021302661285902283,-0.03535601595936228,-0.027005372735288587,4906,2621363.0,freshness
price_bucket_5c_label,40-45,0-5,-0.022092174748759602,0.0021981567145780753,-0.02640056190933263,-0.017783787588186575,4906,2621363.0,freshness
price_bucket_5c_label,45-50,0-5,-0.02275108053335318,0.002180952231734707,-0.027025746907553206,-0.018476414159153156,4906,2621363.0,freshness
price_bucket_5c_label,50-55,0-5,-0.021922301772967095,0.002299889549034143,-0.026430085289074014,-0.017414518256860176,4906,2621363.0,freshness
price_bucket_5c_label,55-60,0-5,-0.024888515530142975,0.0026021595357777244,-0.029988748220267314,-0.019788282840018635,4906,2621363.0,freshness
price_bucket_5c_label,60-65,0-5,-0.01177094035288352,0.0028415839539848303,-0.017340444902693788,-0.006201435803073253,4906,2621363.0,freshness
price_bucket_5c_label,65-70,0-5,-0.01688850597242123,0.0029805210764330707,-0.022730327282230046,-0.01104668466261241,4906,2621363.0,freshness
price_bucket_5c_label,70-75,0-5,-0.015883790231205536,0.003190799921613854,-0.022137758077568688,-0.009629822384842382,4906,2621363.0,freshness
price_bucket_5c_label,75-80,0-5,-0.0030123459662731154,0.003271430724779882,-0.009424350186841684,0.003399658254295453,4906,2621363.0,freshness
price_bucket_5c_label,80-85,0-5,-0.00022112644222032206,0.003253505087784948,-0.0065979964142788205,0.006155743529838176,4906,2621363.0,freshness
price_bucket_5c_label,85-90,0-5,0.000746956833081978,0.0032197283986672956,-0.005563710828305922,0.007057624494469877,4906,2621363.0,freshness
price_bucket_5c_label,90-95,0-5,0.012329130641746662,0.0027613293907829454,0.0069169250358120885,0.017741336247681233,4906,2621363.0,freshness
price_bucket_5c_label,95-100,0-5,0.005646014637475397,0.0014064909574565728,0.002889292360860514,0.00840273691409028,4906,2621363.0,freshness
