predictor,level,baseline_level,coefficient,std_error,ci_low,ci_high,row_count,weight_sum,control_family
category_group,Crypto,Sports,-0.017752429262876998,0.0024726332643240662,-0.022598790460952166,-0.012906068064801829,976,554020.0,liquidity
category_group,Finance,Sports,-0.0052349448555470265,0.0030737047065918393,-0.011259406080467032,0.000789516369372978,976,554020.0,liquidity
category_group,Weather,Sports,-0.001780606375488555,0.0041238482838460815,-0.009863349011826875,0.006302136260849764,976,554020.0,liquidity
category_group,Entertainment,Sports,-0.010126573771502183,0.0066430672642630315,-0.023146985609457722,0.0028938380664533577,976,554020.0,liquidity
category_group,Other,Sports,-0.011330319610560347,0.0071401099030652575,-0.025324935020568252,0.0026642957994475573,976,554020.0,liquidity
category_group,Esports,Sports,-0.01540462661530786,0.00763998762204811,-0.030379002354522157,-0.0004302508760935641,976,554020.0,liquidity
category_group,Media,Sports,-0.015320958234899805,0.008144694787402403,-0.031284560018208514,0.0006426435484089051,976,554020.0,liquidity
category_group,Politics,Sports,-0.007946658149967869,0.008213118156306456,-0.024044369736328522,0.008151053436392783,976,554020.0,liquidity
category_group,Science/Tech,Sports,-0.008668326690042196,0.03254535613677004,-0.07245722471811146,0.05512057133802707,976,554020.0,liquidity
category_group,World Events,Sports,0.006219820375413292,0.04370854896686711,-0.07944893559964625,0.09188857635047282,976,554020.0,liquidity
liquidity_quintile_label,Q2 Low-Mid,Q1 Lowest,-0.002752028139553957,0.002877232997555144,-0.008391404814762039,0.002887348535654125,976,554020.0,liquidity
liquidity_quintile_label,Q3 Mid,Q1 Lowest,-0.003732367430983482,0.002918141556292301,-0.009451924881316392,0.0019871900193494272,976,554020.0,liquidity
liquidity_quintile_label,Q4 Mid-High,Q1 Lowest,-0.005963260690428773,0.003026536848118039,-0.011895272912740128,-3.124846811741657e-05,976,554020.0,liquidity
liquidity_quintile_label,Q5 Highest,Q1 Lowest,-0.005145183806975976,0.0031506135836590135,-0.011320386430947642,0.0010300188169956905,976,554020.0,liquidity
price_bucket_5c_label,5-10,0-5,-0.02752866848776423,0.0029264056666956223,-0.03326442359448765,-0.02179291338104081,976,554020.0,liquidity
price_bucket_5c_label,10-15,0-5,-0.05018262532776597,0.004115473963838674,-0.05824895429688977,-0.04211629635864217,976,554020.0,liquidity
price_bucket_5c_label,15-20,0-5,-0.06835906956030756,0.005021596943355739,-0.0782013995692848,-0.05851673955133031,976,554020.0,liquidity
price_bucket_5c_label,20-25,0-5,-0.07773554042524487,0.005865960668325086,-0.08923282333516204,-0.0662382575153277,976,554020.0,liquidity
price_bucket_5c_label,25-30,0-5,-0.08485300531409413,0.006758646560586104,-0.0980999525728429,-0.07160605805534537,976,554020.0,liquidity
price_bucket_5c_label,30-35,0-5,-0.09423347669280582,0.00777310898260917,-0.10946877029871979,-0.07899818308689185,976,554020.0,liquidity
price_bucket_5c_label,35-40,0-5,-0.10384152641750016,0.00856964348821904,-0.12063802765440948,-0.08704502518059085,976,554020.0,liquidity
price_bucket_5c_label,40-45,0-5,-0.10629992675580366,0.009501837858793155,-0.12492352895903824,-0.08767632455256907,976,554020.0,liquidity
price_bucket_5c_label,45-50,0-5,-0.09471829759044764,0.009981058552570435,-0.1142811723534857,-0.07515542282740958,976,554020.0,liquidity
price_bucket_5c_label,50-55,0-5,-0.06002038668942122,0.01070971228704518,-0.08101142277202977,-0.039029350606812674,976,554020.0,liquidity
price_bucket_5c_label,55-60,0-5,-0.05397019140672656,0.013163506248199714,-0.079770663653198,-0.028169719160255124,976,554020.0,liquidity
price_bucket_5c_label,60-65,0-5,-0.0022856376928242685,0.013850344724000714,-0.02943231335186567,0.02486103796621713,976,554020.0,liquidity
price_bucket_5c_label,65-70,0-5,0.024869573578771082,0.014068826206836265,-0.002705325786627997,0.052444472944170165,976,554020.0,liquidity
price_bucket_5c_label,70-75,0-5,0.0842578303359649,0.013967579467582864,0.056881374579502486,0.11163428609242732,976,554020.0,liquidity
price_bucket_5c_label,75-80,0-5,0.06615447155757298,0.01258180368720272,0.04149413633065564,0.09081480678449032,976,554020.0,liquidity
price_bucket_5c_label,80-85,0-5,0.09407394287047352,0.01140830960062142,0.07171365605325554,0.1164342296876915,976,554020.0,liquidity
price_bucket_5c_label,85-90,0-5,0.07535936886132442,0.009615746041042572,0.05651250662088098,0.09420623110176787,976,554020.0,liquidity
price_bucket_5c_label,90-95,0-5,0.05927361250255411,0.006774801545607311,0.04599500147316379,0.07255222353194445,976,554020.0,liquidity
price_bucket_5c_label,95-100,0-5,0.022551566069090735,0.002713398445777134,0.017233305115367553,0.027869827022813917,976,554020.0,liquidity
