category_group,horizon_label,horizon_hours,freshness_filter,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_staleness_age_hours,baseline_market_count,retained_share
Sports,30d,720.0,all,1194,20,0.042437185929648236,-0.008768844221105538,-0.019710365853658537,0.026601307189542452,61.93180555555557,1194,1.0
Sports,30d,720.0,<=1h,94,18,0.16510638297872338,-0.024680851063829775,-0.04264705882352941,-0.18000000000000005,0.2315277777777851,1194,0.07872696817420435
Sports,30d,720.0,<=6h,244,20,0.0738934426229508,-0.009467213114754106,-0.02805555555555556,-0.06208333333333325,1.8920833333333462,1194,0.20435510887772193
Sports,30d,720.0,<=24h,405,20,0.07441975308641975,-0.01269135802469136,-0.03163742690058479,-0.01780000000000002,5.032222222222231,1194,0.3391959798994975
Sports,7d,168.0,all,5188,20,0.02989784117193524,-0.023078257517347718,-0.022982134677049928,0.0009189189189189902,7.658888888888882,5188,1.0
Sports,7d,168.0,<=1h,1290,20,0.04275193798449612,-0.01886046511627907,-0.029025423728813563,-0.019523809523809495,0.2466666666666697,5188,0.24865073245952196
Sports,7d,168.0,<=6h,2451,20,0.03294573643410853,-0.0222562219502244,-0.03110108303249097,-0.016022727272727258,0.88055555555556,5188,0.47243639167309176
Sports,7d,168.0,<=24h,3280,20,0.029097560975609765,-0.021664634146341455,-0.02804054054054054,-0.008413597733711108,1.7447222222222223,5188,0.6322282189668466
Sports,3d,72.0,all,27053,20,0.006429970798063057,-0.0032547222119543064,-2.3886935173511476e-05,0.004862275449101761,13.824444444444438,27053,1.0
Sports,3d,72.0,<=1h,4443,20,0.021316677920324104,-0.014474454197614228,-0.012429784454604834,0.03511961722488043,0.2547222222222274,27053,0.16423317192178316
Sports,3d,72.0,<=6h,10020,20,0.011205588822355289,-0.006942115768463069,-0.008606031821420088,0.013807106598984754,1.3399999999999963,27053,0.37038406091745835
Sports,3d,72.0,<=24h,17295,20,0.008579936397802837,-0.0020462561433940447,-0.0005529075309818868,0.019783001808318268,4.348055555555561,27053,0.639300632092559
Sports,1d,24.0,all,85118,20,0.010208534035104206,-0.010208534035104206,-0.004617429894028078,-0.026958499147242715,9.09513888888889,85118,1.0
Sports,1d,24.0,<=1h,15476,20,0.017022486430602227,-0.016356939777720344,-0.014580360889634917,0.003470744680851117,0.2656944444444438,85118,0.18181818181818182
Sports,1d,24.0,<=6h,35736,20,0.01630596597268861,-0.01596233490038057,-0.013002598045280218,-0.019004934210526278,1.3308333333333344,85118,0.41984069174557676
Sports,1d,24.0,<=24h,59707,20,0.013379335756276488,-0.013379335756276488,-0.007474128957197968,-0.02843495934959349,3.9761111111111127,85118,0.7014615005051811
Sports,6h,6.0,all,208027,20,0.014472592500012023,-0.014472592500012023,-0.00966487715153056,-0.021892081289418334,5.411111111111111,208027,1.0
Sports,6h,6.0,<=1h,53361,20,0.019775866269372753,-0.019775866269372753,-0.01933127404758034,-0.009247457627118625,0.24083333333333368,208027,0.2565099722632158
Sports,6h,6.0,<=6h,107619,20,0.017359202371328483,-0.017359202371328483,-0.013669182172552178,-0.01809038546743464,1.017777777777778,208027,0.517331884803415
