platform,horizon_label,horizon_hours,market_count,fresh_1h_market_count,fresh_6h_market_count,fresh_24h_market_count,median_staleness_age_hours,mean_staleness_age_hours,p90_staleness_age_hours,median_freshness_ratio,fresh_1h_share,fresh_6h_share,fresh_24h_share
kalshi,30d,720.0,11089,741,1857,4131,50.44833333333338,251.1416032905482,688.6963888888891,1.0700671296296298,0.0668229777256741,0.16746325187122374,0.3725313373613491
kalshi,7d,168.0,22965,3232,6634,11589,23.411388888888894,175.14276710936932,464.714388888889,1.1393535052910053,0.14073590246026563,0.2888743740474635,0.5046374918354017
kalshi,3d,72.0,58329,8711,20135,35223,15.687222222222218,82.90512817618833,138.3605000000004,1.217878086419753,0.1493425225873922,0.3451970717824753,0.6038677158874659
kalshi,1d,24.0,157177,40040,80382,116173,5.599722222222223,39.86261407167998,69.74366666666666,1.2333217592592594,0.2547446509349332,0.5114107025837114,0.7391221361904096
kalshi,6h,6.0,327421,98901,188576,275529,3.7944444444444443,23.23715464273146,41.113055555555555,1.6324074074074073,0.3020606497445185,0.5759435100375357,0.8415129145656509
kalshi,1h,1.0,428582,100708,253415,369823,4.426666666666667,19.657842246187556,32.296083333333335,5.426666666666667,0.23497953717141642,0.591287081585321,0.8628990484901372
polymarket,30d,720.0,19852,2797,6306,9505,29.296944444444478,864.7609095501152,3367.206333333385,1.040690200617284,0.14089260527906508,0.31765061454765264,0.47879306870844246
polymarket,7d,168.0,59287,15946,25860,33474,11.910277777777765,396.4444221049021,771.2479444444447,1.0708945105820105,0.26896284176969654,0.4361833116872164,0.5646094422048679
polymarket,3d,72.0,100511,15572,34043,50138,24.239722222222227,270.7008735583391,319.6686111111111,1.3366628086419754,0.15492831630368814,0.33869924684860364,0.498830973724269
polymarket,1d,24.0,134413,33668,63142,82901,7.75888888888889,216.08523831193577,303.28077777777776,1.323287037037037,0.25048172423798293,0.4697611094164999,0.616763259506149
polymarket,6h,6.0,181455,65162,108331,131127,2.7925000000000004,163.89347324252418,203.1973888888889,1.4654166666666668,0.3591083188669367,0.5970130335344851,0.7226419773497561
polymarket,1h,1.0,232300,117370,166658,183064,0.9697222222222222,128.32089681924714,164.02474999999998,1.9697222222222222,0.5052518295307792,0.7174257425742574,0.7880499354283255
